"Year","Release Type","Site","Installation","Nuclide Type","Activity"
"1994","Atmospheric","Rajasthan","Aggregated Record","Iodine","3.100000e-1"
"2013","Liquid","Salem","Salem 2","H-3","2.767428e+2"
"2018","Atmospheric","Temelin","Temelin-1","C-14","2.382163e+2"
"1995","Liquid","Bruce","Bruce A 1-4","H-3","1.900000e+6"
"2010","Atmospheric","Monticello","Aggregated Record","Iodine","3.256492e-1"
"1992","Atmospheric","Cooper","Aggregated Record","Iodine","3.363300e-3"
"1986","Atmospheric","Cofrentes","Aggregated Record","H-3","7.000000e+1"
"2018","Atmospheric","Heysham","Heysham 1 (Unit A)","C-14","1.680000e+3"
"2009","Atmospheric","Fukushima-Daiichi","Aggregated Record","Iodine","5.300000e-4"
"2019","Liquid","Cattenom","Aggregated Record","Iodine","2.730000e-2"
"2019","Atmospheric","Barseback","Barsebäck 2","Other","2.704629e-6"
"2015","Atmospheric","Khmelnitski","Khmelnitski 1","Beta/Gamma","7.950000e-5"
"2009","Liquid","Sizewell A","Sizewell A (AA-AB)","Beta/Gamma","1.170000e+2"
"2008","Atmospheric","Flamanville","Aggregated Record","Noble Gases","7.740950e+2"
"2011","Atmospheric","St. Lucie","St. Lucie 1","H-3","2.767900e+1"
"2009","Atmospheric","Grand Gulf","Aggregated Record","Beta/Gamma","6.325979e-5"
"2025","Atmospheric","Kola","Aggregated Record","Noble Gases","4.195000e+3"
"2020","Atmospheric","Doel","Aggregated Record","Other","2.500000e-2"
"2020","Atmospheric","Forsmark","Forsmark 3","Noble Gases","1.822376e+3"
"2017","Atmospheric","Kozloduy","Kozloduy-5","Beta/Gamma","1.069050e-3"
"2020","Atmospheric","Clinton","Aggregated Record","C-14","1.727000e+1"
"2010","Atmospheric","Bugey","Aggregated Record","H-3","4.750000e+2"
"1994","Atmospheric","Enrico Fermi","Aggregated Record","Noble Gases","1.810000e+1"
"2006","Liquid","Cattenom","Aggregated Record","H-3","1.310000e+5"
"2008","Atmospheric","Embalse","Aggregated Record","Iodine","1.100000e-4"
"2014","Atmospheric","Kori","Kori 1","H-3","1.590000e+3"
"1986","Atmospheric","Jose Cabrera","Aggregated Record","Beta/Gamma","1.000000e-1"
"2020","Atmospheric","Smolensk","Aggregated Record","C-14","2.116000e+0"
"2025","Atmospheric","Hanul","Hanul 4","Alpha","0.000000e+0"
"1996","Liquid","Ohi","Aggregated Record","H-3","5.900000e+4"
"2023","Liquid","Beloyarsky","Aggregated Record","H-3","1.280000e+2"
"2013","Liquid","Oskarshamn","Oskarshamn 1-2","Beta/Gamma","1.539331e-1"
"2020","Liquid","Sendai","Aggregated Record","Alpha","0.000000e+0"
"2002","Atmospheric","Fessenheim","Aggregated Record","Noble Gases","4.959341e+2"
"2011","Atmospheric","Asco","Aggregated Record","Other","7.660016e+2"
"2020","Atmospheric","Takahama","Aggregated Record","Iodine","0.000000e+0"
"2013","Atmospheric","Duane Arnold 1","Aggregated Record","Beta/Gamma","6.397892e-5"
"2011","Liquid","Shimane","Shimane 1","Other","0.000000e+0"
"2013","Atmospheric","Hanbit","Hanbit 1","Beta/Gamma","4.210000e-4"
"2017","Atmospheric","Koeberg","Aggregated Record","Iodine","1.640000e-1"
"2009","Liquid","Khmelnitski","Khmelnitski 1","H-3","0.000000e+0"
"2013","Atmospheric","Kozloduy","Kozloduy-5","Alpha","4.320000e-8"
"2011","Atmospheric","South Ukraine","Drain valve 2","C-14","0.000000e+0"
"2008","Liquid","Kjeller","IFE Kjeller, all installations","Alpha","1.044172e-2"
"2003","Atmospheric","Santa Maria de Garona","Aggregated Record","Alpha","4.423000e-5"
"2023","Liquid","Tsuruga","Aggregated Record","H-3","2.900000e+2"
"2014","Atmospheric","Golfech","Aggregated Record","H-3","1.050000e+3"
"2023","Liquid","Beznau","Aggregated Record","H-3","1.200000e+4"
"2020","Liquid","Tsuruga","Aggregated Record","H-3","2.700000e+2"
"1986","Atmospheric","Enrico Fermi","Aggregated Record","Beta/Gamma","1.000000e-5"
"2024","Liquid","Hanbit","Hanbit 6","Beta/Gamma","4.420760e-1"
"2007","Atmospheric","Zaporozhye","Zaporizhzhia 1 ","H-3","0.000000e+0"
"2017","Liquid","Ringhals","Ringhals 1","H-3","5.380000e+2"
"2024","Liquid","Wolsong","Shin-Wolsong 2","Alpha","0.000000e+0"
"2008","Atmospheric","Hartlepool","Aggregated Record","C-14","1.520000e+1"
"2020","Liquid","Forsmark","Forsmark 3","H-3","3.751706e+2"
"1990","Atmospheric","San Onofre","Aggregated Record","Noble Gases","1.095200e+5"
"2011","Liquid","Heysham","Heysham 1 (Unit A)","Other","4.790000e+0"
"2012","Atmospheric","South Texas","South Texas 2","H-3","5.212480e+1"
"2005","Liquid","Golfech","Aggregated Record","C-14","3.310000e+1"
"1996","Atmospheric","Cooper","Aggregated Record","Iodine","7.100000e-1"
"2013","Atmospheric","Darlington","Aggregated Record","H-3","2.100000e+5"
"1997","Atmospheric","Beznau","Aggregated Record","Beta/Gamma","6.000000e-3"
"2016","Liquid","Hartlepool","Aggregated Record","Other","4.540000e-1"
"2008","Atmospheric","Khmelnitski","Khmelnitski 1","Noble Gases","3.641250e+3"
"2023","Liquid","Atucha","Atucha 2","Alpha","6.527000e-2"
"2002","Liquid","Paks","Aggregated Record","H-3","2.190000e+4"
"2011","Liquid","Point Lepreau","Aggregated Record","C-14","1.400000e-2"
"2025","Liquid","Leningrad-2","Aggregated Record","H-3","2.080000e+3"
"2008","Liquid","Fessenheim","Aggregated Record","H-3","2.090000e+4"
"2011","Liquid","Ringhals","Ringhals 2","H-3","1.140000e+4"
"2018","Atmospheric","Laguna Verde","Aggregated Record","Iodine","6.753240e-3"
"2014","Atmospheric","St. Lucie","St. Lucie 1","Noble Gases","1.755753e+0"
"2017","Atmospheric","Dampierre","Aggregated Record","C-14","8.930000e+2"
"2017","Atmospheric","Three Mile Island","Three Mile Island 1","H-3","9.992120e+1"
"2004","Atmospheric","Golfech","Aggregated Record","Beta/Gamma","2.773160e-2"
"2020","Atmospheric","Perry","Aggregated Record","Beta/Gamma","3.701000e+1"
"2013","Liquid","Zaporozhye","Zaporizhzhia 1 ","C-14","0.000000e+0"
"2011","Atmospheric","Braidwood","Braidwood 2","Beta/Gamma","1.960000e-9"
"2016","Atmospheric","Chapelcross","Aggregated Record","Other","9.520000e-1"
"2025","Liquid","Goesgen","Aggregated Record","Alpha","9.200000e-5"
"2022","Atmospheric","Embalse","Aggregated Record","C-14","1.456530e+3"
"2017","Liquid","Hanul","Hanul 3","H-3","1.240000e+4"
"2008","Atmospheric","Temelin","Auxiliary Building ","Alpha","2.296000e-7"
"1989","Atmospheric","Prairie Island","Aggregated Record","H-3","4.370000e+3"
"2010","Atmospheric","Zaporozhye","Drain valve 1","C-14","0.000000e+0"
"1986","Liquid","Perry","Aggregated Record","H-3","1.000000e-1"
"2022","Atmospheric","Atucha","Atucha 2","Iodine","8.817210e-2"
"2023","Atmospheric","Angra","Angra 2","H-3","9.213718e+2"
"2015","Atmospheric","Rovno","Drain valve units 3-4","Particulates","9.360000e-3"
"1986","Atmospheric","Ringhals","Ringhals 1","Noble Gases","9.970000e+4"
"2007","Atmospheric","Zaporozhye","Zaporizhzhia 1 ","Beta/Gamma","2.464000e-3"
"1986","Atmospheric","Indian Point","Aggregated Record","H-3","2.516000e+2"
"2020","Atmospheric","Hanbit","Hanbit 6","Alpha","0.000000e+0"
"2020","Liquid","Gravelines","Aggregated Record","C-14","4.550000e+1"
"2002","Atmospheric","Belleville","Aggregated Record","C-14","4.500000e+2"
"2020","Liquid","Chooz","Aggregated Record","C-14","1.300000e+1"
"2009","Atmospheric","Khmelnitski","Khmelnitski 1","Beta/Gamma","1.528000e-4"
"2011","Atmospheric","Khmelnitski","Khmelnitski 2","Other","0.000000e+0"
"1994","Atmospheric","Hope Creek","Aggregated Record","Noble Gases","1.630000e+1"
"2008","Atmospheric","Kori","Kori 2","Particulates","0.000000e+0"
"1997","Atmospheric","Point Lepreau","Aggregated Record","Beta/Gamma","5.000000e-5"
"1990","Atmospheric","North Anna","Aggregated Record","H-3","1.150700e+3"
"2016","Liquid","Grand Gulf","Aggregated Record","H-3","6.192000e+1"
"2019","Atmospheric","Hanbit","Hanbit 4","C-14","1.090000e+1"
"2020","Liquid","Obrigheim (KWO)","Aggregated Record","Alpha","5.240000e-7"
"1997","Atmospheric","Greifswald","Aggregated Record","H-3","1.700000e+0"
"2013","Liquid","Rovno","Drain valve units 3-4","H-3","0.000000e+0"
"2008","Liquid","Ringhals","Ringhals 4","Alpha","3.193000e-4"
"2017","Atmospheric","Tomari","Aggregated Record","Noble Gases","0.000000e+0"
"2008","Liquid","Byron","Byron 2","Beta/Gamma","8.584370e-3"
"2022","Atmospheric","Embalse","Aggregated Record","H-3","2.676700e+5"
"2010","Atmospheric","South Ukraine","Drain valve 2","Iodine","1.380443e-2"
"2013","Atmospheric","Khmelnitski","Khmelnitski 1","Particulates","2.137000e-3"
"2013","Atmospheric","Point Beach","Aggregated Record","Noble Gases","1.022712e+0"
"2014","Liquid","Khmelnitski","Khmelnitski 1","C-14","0.000000e+0"
"2007","Atmospheric","Hinkley Point","Hinkley Point B (BA-BB)","Iodine","5.910000e-3"
"2015","Atmospheric","Forsmark","Forsmark 3","C-14","4.428925e+2"
"2018","Liquid","Salem","Salem 2","H-3","8.120083e+2"
"2010","Liquid","Millstone","Millstone 3","Iodine","1.810000e-3"
"1994","Atmospheric","WPPSS 2","Aggregated Record","Beta/Gamma","1.000000e-1"
"1993","Atmospheric","Pickering","Pickering 1-4","Noble Gases","3.700000e+5"
"2007","Atmospheric","Nogent","Aggregated Record","H-3","2.310000e+3"
"2019","Liquid","Trillo","Aggregated Record","H-3","1.120000e+4"
"2019","Atmospheric","Zaporozhye","Zaporizhzhia 2","Noble Gases","2.650000e+3"
"2010","Atmospheric","Almaraz","Aggregated Record","Alpha","3.410000e-5"
"2018","Liquid","Zaporozhye","Zaporizhzhia 2","H-3","0.000000e+0"
"2022","Atmospheric","Point Lepreau","Aggregated Record","Noble Gases","2.660000e+4"
"1985","Atmospheric","Lasalle","Aggregated Record","Beta/Gamma","5.476000e-1"
"2010","Liquid","South Ukraine","Drain valve 2","Alpha","0.000000e+0"
"2016","Liquid","South Ukraine","South Ukraine 3","Alpha","0.000000e+0"
"2020","Atmospheric","Hanul","Hanul 3","Particulates","0.000000e+0"
"2012","Liquid","Heysham","Heysham 1 (Unit A)","Other","5.860000e+0"
"2011","Atmospheric","Gentilly","Gentilly 2","Particulates","9.130000e-4"
"2008","Atmospheric","Wolf Creek","Aggregated Record","H-3","3.714200e+1"
"2018","Liquid","South Texas","South Texas 2","H-3","7.149135e+2"
"2007","Atmospheric","Bugey","Aggregated Record","H-3","5.610000e+2"
"2013","Liquid","St. Lucie","St. Lucie 1","H-3","2.720000e+2"
"2013","Atmospheric","Penly","Aggregated Record","H-3","1.190000e+3"
"2020","Atmospheric","Doel","Aggregated Record","H-3","3.155200e+3"
"1996","Atmospheric","Zaporozhye","Aggregated Record","Beta/Gamma","1.200000e-1"
"2012","Liquid","Crystal River","Aggregated Record","H-3","6.340000e-1"
"2017","Liquid","Hinkley Point","Hinkley Point A (AA-AB)","Other","2.960000e+1"
"2023","Liquid","Trawsfynydd","Aggregated Record","Beta/Gamma","2.540000e-1"
"2009","Liquid","Zaporozhye","Drain valve 2","Alpha","0.000000e+0"
"1986","Liquid","Ringhals","Ringhals 1","H-3","4.650000e+4"
"2014","Liquid","Braidwood","Braidwood 1","H-3","1.503796e+3"
"2010","Atmospheric","Turkey Point","Turkey Point 4","C-14","7.280000e+0"
"2016","Liquid","South Ukraine","Drain valve 2","Beta/Gamma","0.000000e+0"
"1998","Liquid","Dukovany","Aggregated Record","Short-Lived","0.000000e+0"
"2008","Liquid","Dungeness A","Dungeness A (1-2)","H-3","9.510000e+1"
"2020","Atmospheric","Enrico Fermi","Enrico Fermi 2","H-3","9.180000e+1"
"2025","Liquid","Wolsong","Shin-Wolsong 1","Beta/Gamma","1.360000e-1"
"2013","Atmospheric","Calvert Cliffs","Aggregated Record","Beta/Gamma","3.090000e-6"
"2007","Atmospheric","Dukovany","Dukovany 3-4","Noble Gases","2.905560e+3"
"2008","Atmospheric","Chinon","Aggregated Record","Noble Gases","6.412753e+2"
"2010","Atmospheric","Rovno","Drain valve units 3-4","Other","0.000000e+0"
"2008","Liquid","Takahama","Aggregated Record","H-3","4.000000e+4"
"2019","Liquid","Belleville","Aggregated Record","H-3","5.210000e+4"
"2019","Atmospheric","Nine Mile Point","Nine Mile Point 2","Beta/Gamma","1.148720e-3"
"2011","Atmospheric","Ringhals","Ringhals 2","Iodine","2.000000e-3"
"2008","Liquid","H.B. Robinson","Aggregated Record","H-3","5.959000e+2"
"2015","Liquid","Salem","Salem 1","H-3","3.949050e+2"
"2007","Atmospheric","Zaporozhye","Drain valve 1","Particulates","1.072280e-1"
"2011","Liquid","Tokai","Tokai-1","Other","4.300000e-6"
"1988","Atmospheric","Olkiluoto","Aggregated Record","Noble Gases","1.800000e+2"
"2017","Liquid","Darlington","Aggregated Record","C-14","1.700000e+0"
"2018","Liquid","Hinkley Point","Hinkley Point A (AA-AB)","H-3","7.900000e-2"
"2004","Atmospheric","St. Laurent","Aggregated Record","Noble Gases","2.866197e+2"
"2015","Atmospheric","Embalse","Aggregated Record","C-14","6.000000e+1"
"2018","Liquid","Zaporozhye","Zaporizhzhia 3","C-14","0.000000e+0"
"2020","Liquid","Turkey Point","Turkey Point 4","Iodine","2.290000e-4"
"2018","Atmospheric","Bohunice","Processing center","H-3","2.007684e+0"
"2024","Liquid","Pickering","Aggregated Record","Beta/Gamma","3.400000e+2"
"1986","Atmospheric","Dungeness B","Aggregated Record","Iodine","1.900000e+0"
"2012","Liquid","Peach Bottom","Aggregated Record","Beta/Gamma","5.518736e-3"
"2013","Atmospheric","Tihange","Aggregated Record","Other","2.220000e-1"
"2020","Liquid","Hanul","Hanul 1","C-14","0.000000e+0"
"2009","Atmospheric","Temelin","Temelin-1","H-3","3.827068e+2"
"2005","Liquid","Chinon","Aggregated Record","C-14","4.370000e+1"
"2011","Atmospheric","Asco","Aggregated Record","C-14","7.660000e+2"
"2016","Liquid","Kewaunee","Aggregated Record","Beta/Gamma","4.679700e-3"
"2005","Liquid","Paluel","Aggregated Record","Beta/Gamma","1.834340e+0"
"2010","Atmospheric","H.B. Robinson","Aggregated Record","Noble Gases","5.066957e-1"
"2015","Atmospheric","Braidwood","Braidwood 2","Noble Gases","5.682000e-2"
"2014","Atmospheric","Bruce","Bruce A 1-4","Particulates","3.130000e-3"
"2019","Liquid","Hartlepool","Aggregated Record","Beta/Gamma","1.273090e+3"
"2007","Liquid","Nogent","Aggregated Record","C-14","3.690000e+1"
"2015","Atmospheric","Dresden","Dresden 3","Beta/Gamma","6.887632e-3"
"2017","Atmospheric","Fitzpatrick","Aggregated Record","Beta/Gamma","1.266740e-4"
"2022","Atmospheric","Ikata","Aggregated Record","Iodine","4.600000e-3"
"2008","Atmospheric","Nogent","Aggregated Record","Noble Gases","3.820000e+3"
"2015","Liquid","Kori","Kori 3","H-3","1.830000e+4"
"1990","Atmospheric","Pickering","Pickering 5-8","Beta/Gamma","1.800000e-2"
"2011","Liquid","Genkai","Aggregated Record","H-3","5.600000e+4"
"2015","Atmospheric","Gentilly","Gentilly 2","Particulates","1.350000e-3"
"2014","Liquid","Ikata","Aggregated Record","H-3","2.400000e+2"
"1985","Atmospheric","Kola","Aggregated Record","Beta/Gamma","2.200000e-1"
"2014","Atmospheric","Oskarshamn","Oskarshamn 2","Other","1.081099e-3"
"2016","Liquid","Golfech","Aggregated Record","C-14","3.530000e+1"
"2019","Liquid","Dungeness B","Aggregated Record","H-3","1.140000e+4"
"1988","Atmospheric","Zion","Aggregated Record","Noble Gases","4.850000e+4"
"2011","Atmospheric","Vogtle","Vogtle 2","Noble Gases","5.005034e+1"
"1966","Liquid","Cap de la Hague","Aggregated Record","Alpha","5.800000e+0"
"2010","Liquid","Zaporozhye","Zaporizhzhia 2","Alpha","0.000000e+0"
"2011","Atmospheric","Zaporozhye","Zaporizhzhia 4","Alpha","0.000000e+0"
"2014","Atmospheric","Kozloduy","Kozloduy-5","Alpha","2.743000e-7"
"1991","Atmospheric","Bohunice","Bohunice 1","H-3","1.045000e+3"
"2012","Liquid","Cofrentes","Aggregated Record","H-3","3.290000e+2"
"2012","Liquid","Watts Bar","Watts Bar-1","Beta/Gamma","3.856026e-2"
"2011","Atmospheric","H.B. Robinson","Aggregated Record","H-3","6.410000e+0"
"2019","Atmospheric","Farley","Farley 1","Noble Gases","2.124300e+0"
"2010","Atmospheric","Loviisa","Loviisa 1","Beta/Gamma","4.353000e-4"
"2014","Atmospheric","Zaporozhye","Zaporizhzhia 3","Iodine","7.550000e-3"
"2023","Atmospheric","Leningrad","Aggregated Record","C-14","7.000000e+2"
"2007","Atmospheric","Zaporozhye","Zaporizhzhia 5","Alpha","0.000000e+0"
"2017","Liquid","Wolsong","Wolsong 3","Beta/Gamma","3.110000e-3"
"2022","Liquid","Leningrad","Aggregated Record","Beta/Gamma","2.184600e-1"
"2020","Atmospheric","THTR-300","Aggregated Record","C-14","0.000000e+0"
"2013","Atmospheric","South Ukraine","South Ukraine 3","Other","0.000000e+0"
"2020","Liquid","Callaway","Aggregated Record","Beta/Gamma","4.094703e-2"
"2018","Atmospheric","Beznau","Aggregated Record","Iodine","3.491240e-3"
"2018","Atmospheric","Kozloduy","Auxiliary building","Noble Gases","1.721000e+1"
"2012","Atmospheric","Hunterston","Hunterston A (A1-A2)","C-14","8.000000e-2"
"2009","Liquid","Torness","Aggregated Record","H-3","3.640000e+5"
"2012","Atmospheric","Farley","Farley 2","H-3","3.092930e+1"
"2010","Atmospheric","Three Mile Island","Three Mile Island 1","Noble Gases","6.118470e+0"
"2008","Liquid","Halden","OECD Halden reactor project","Iodine","2.500000e-2"
"2009","Atmospheric","South Ukraine","Drain valve 2","Noble Gases","0.000000e+0"
"2016","Atmospheric","Olkiluoto","Olkiluoto 1","Particulates","2.410000e+2"
"2016","Atmospheric","Beaver Valley","Beaver Valley 1","Beta/Gamma","1.817000e-4"
"2015","Atmospheric","Darlington","Aggregated Record","Other","1.700000e+4"
"2008","Liquid","Peach Bottom","Aggregated Record","Beta/Gamma","2.525026e-1"
"2007","Atmospheric","Hanbit","Hanbit 4","H-3","3.080000e+3"
"2016","Liquid","Kola","Aggregated Record","Iodine","3.960000e-3"
"2019","Atmospheric","Bugey","Aggregated Record","C-14","4.670000e+2"
"2017","Atmospheric","South Texas","South Texas 1","Beta/Gamma","1.306194e-4"
"2008","Atmospheric","St. Lucie","St. Lucie 1","Noble Gases","7.877710e+0"
"2016","Atmospheric","Fessenheim","Aggregated Record","Noble Gases","1.297583e+2"
"2019","Atmospheric","Enrico Fermi","Enrico Fermi 2","Noble Gases","1.567000e-2"
"2013","Atmospheric","Comanche Peak","Aggregated Record","H-3","3.576400e+1"
"2016","Atmospheric","Belleville","Aggregated Record","Iodine","2.640000e-3"
"2010","Atmospheric","St. Laurent","Aggregated Record","Iodine","1.690000e-3"
"2016","Atmospheric","Braidwood","Braidwood 2","C-14","4.510000e+0"
"2011","Atmospheric","ROSTOV","Aggregated Record","Noble Gases","1.040000e+4"
"1989","Liquid","St. Lucie","Aggregated Record","H-3","2.997000e+4"
"2014","Atmospheric","Zaporozhye","Drain valve 2","Other","0.000000e+0"
"2014","Atmospheric","Hunterston","Hunterston B (B1-B2)","Noble Gases","1.200000e+4"
"2015","Atmospheric","Oskarshamn","Oskarshamn 1","Other","4.092050e+2"
"2016","Atmospheric","Zaporozhye","Zaporizhzhia 5","Particulates","2.090000e-2"
"1987","Atmospheric","Maanshan","Aggregated Record","Noble Gases","3.590000e+3"
"2010","Liquid","Hunterston","Hunterston B (B1-B2)","Other","8.870000e+0"
"2014","Liquid","Kori","Kori 2","Beta/Gamma","4.269000e-3"
"2009","Liquid","Browns Ferry","Aggregated Record","Beta/Gamma","1.837278e-2"
"2009","Liquid","Braidwood","Braidwood 1","H-3","5.283000e+2"
"2020","Liquid","Loviisa","Aggregated Record","Iodine","3.309900e-5"
"2013","Atmospheric","Enrico Fermi","Enrico Fermi 2","H-3","2.697000e+2"
"2007","Atmospheric","Pickering","Pickering 5-8","Particulates","3.500000e-3"
"1996","Atmospheric","Atucha","Aggregated Record","H-3","1.100000e+6"
"2021","Atmospheric","Kola","Aggregated Record","Beta/Gamma","8.860000e-2"
"2015","Liquid","Cruas","Aggregated Record","C-14","3.930000e+1"
"2000","Liquid","Dukovany","Aggregated Record","Long-Lived","0.000000e+0"
"2016","Atmospheric","Asco","Aggregated Record","C-14","3.490000e+2"
"2014","Atmospheric","Sizewell B","Sizewell B","H-3","8.610000e+2"
"2025","Atmospheric","Kori","Kori 4","Beta/Gamma","9.900000e-6"
"2020","Liquid","Oskarshamn","Oskarshamn 1-2","Other","7.558892e-2"
"2020","Atmospheric","Biblis","Biblis A (KWB A)","Alpha","0.000000e+0"
"2010","Liquid","Rovno","Drain valve units 3-4","C-14","0.000000e+0"
"1995","Atmospheric","Atucha","Aggregated Record","H-3","5.300000e+5"
"2019","Atmospheric","Sequoyah","Aggregated Record","C-14","2.159000e+1"
"2020","Liquid","Dresden","Dresden 3","H-3","6.720000e-3"
"2011","Atmospheric","Zaporozhye","Drain valve 2","Iodine","1.663400e-2"
"2010","Atmospheric","Kalinin","Aggregated Record","Noble Gases","2.000000e+5"
"2014","Liquid","Ohi","Aggregated Record","H-3","3.100000e+3"
"2020","Atmospheric","Blayais","Aggregated Record","C-14","1.010000e+3"
"2008","Atmospheric","Temelin","Temelin-2","Beta/Gamma","4.972863e-4"
"1994","Liquid","Enrico Fermi","Aggregated Record","H-3","9.000000e+1"
"2012","Atmospheric","Penly","Aggregated Record","Iodine","9.040000e-3"
"1991","Atmospheric","Leibstadt","Aggregated Record","Beta/Gamma","7.100000e-3"
"2016","Atmospheric","Khmelnitski","Khmelnitski 1","Alpha","0.000000e+0"
"2025","Atmospheric","Hanbit","Hanbit 6","H-3","1.796031e+3"
"2009","Atmospheric","Braidwood","Braidwood 1","H-3","2.441330e+2"
"2009","Atmospheric","Wylfa","Aggregated Record","Other","4.220000e-2"
"2017","Liquid","Novovoronezh","Aggregated Record","Beta/Gamma","4.850000e+0"
"2018","Liquid","Arkansas One","Arkansas One 2","H-3","6.322059e+2"
"2014","Atmospheric","Kozloduy","Auxiliary building","Iodine","1.010000e-4"
"2012","Atmospheric","Vogtle","Vogtle 2","C-14","1.208000e+1"
"2020","Liquid","Hanul","Hanul 5","Alpha","0.000000e+0"
"2017","Liquid","Tihange","Tihange 1","Iodine","3.510000e-3"
"2012","Atmospheric","Dresden","Dresden 2-3","Noble Gases","6.819400e+1"
"2017","Liquid","Point Beach","Aggregated Record","Beta/Gamma","7.619448e-2"
"2020","Atmospheric","Brunswick","Aggregated Record","Iodine","8.551551e-1"
"2016","Liquid","Three Mile Island","Three Mile Island 1","Iodine","1.870000e-5"
"2008","Liquid","Zaporozhye","Zaporizhzhia 5","Beta/Gamma","0.000000e+0"
"2009","Atmospheric","Mihama","Aggregated Record","Iodine","8.400000e-5"
"2009","Atmospheric","Crystal River","Aggregated Record","Iodine","7.830000e-6"
"2019","Atmospheric","Vandellos","Vandellos 2","Particulates","1.741600e-2"
"1996","Atmospheric","Zaporozhye","Aggregated Record","Noble Gases","8.060000e+4"
"1991","Atmospheric","Beaver Valley","Aggregated Record","Beta/Gamma","1.147000e-1"
"2011","Atmospheric","Koeberg","Aggregated Record","Iodine","5.072000e-1"
"1986","Liquid","Donald Cook","Aggregated Record","H-3","2.570000e+4"
"2022","Atmospheric","Hinkley Point","Hinkley Point B (Unit B)","Noble Gases","4.890000e+3"
"2018","Liquid","Davis Besse","Aggregated Record","Beta/Gamma","5.970400e-4"
"1985","Atmospheric","Wolf Creek","Aggregated Record","H-3","1.530000e+3"
"2008","Liquid","Chooz","Aggregated Record","C-14","4.160000e+1"
"2018","Liquid","Catawba","Aggregated Record","Beta/Gamma","5.907428e-2"
"2011","Atmospheric","Flamanville","Aggregated Record","Noble Gases","1.180000e+3"
"1990","Atmospheric","Surry","Aggregated Record","H-3","8.029000e+2"
"2014","Liquid","Ringhals","Ringhals 3","H-3","9.070000e+3"
"2008","Atmospheric","Zaporozhye","Zaporizhzhia 5","C-14","0.000000e+0"
"2020","Liquid","AVR Juelich","Aggregated Record","Iodine","4.800000e-4"
"2014","Atmospheric","Loviisa","Loviisa 1","Iodine","1.560000e-4"
"2009","Atmospheric","Trillo","Aggregated Record","Alpha","0.000000e+0"
"1994","Atmospheric","Dukovany","Aggregated Record","Beta/Gamma","1.500000e-1"
"2016","Liquid","Salem","Salem 1","Beta/Gamma","1.212163e-2"
"2019","Liquid","Zaporozhye","Zaporizhzhia 6","C-14","0.000000e+0"
"2011","Liquid","Torness","Aggregated Record","H-3","3.450000e+5"
"2017","Liquid","Rovno","Rovno-4","Other","0.000000e+0"
"2018","Atmospheric","Leibstadt","Aggregated Record","H-3","4.200000e+2"
"2008","Liquid","Kori","Kori 3","H-3","1.205400e+4"
"2020","Atmospheric","Biblis","Biblis B (KWB-B)","C-14","6.800000e+0"
"1986","Atmospheric","Doel","Aggregated Record","Iodine","2.200000e-1"
"2017","Liquid","Tihange","Tihange 3","Beta/Gamma","3.455400e+0"
"2008","Liquid","Rovno","Rovno-3","H-3","0.000000e+0"
"2013","Atmospheric","Wylfa","Aggregated Record","Noble Gases","8.570000e+3"
"2014","Liquid","Rovno","Rovno-3","Beta/Gamma","0.000000e+0"
"2004","Atmospheric","Tricastin","Aggregated Record","C-14","5.630000e+2"
"1986","Liquid","Byron","Aggregated Record","H-3","2.480000e+3"
"1988","Liquid","Sellafield","Aggregated Record","Beta/Gamma","1.210000e+5"
"1986","Atmospheric","St. Laurent","St. Laurent B1-B2","Noble Gases","1.040000e+5"
"2015","Atmospheric","Loviisa","Loviisa 2","Noble Gases","2.550000e+3"
"2019","Liquid","Zaporozhye","Zaporizhzhia 4","Particulates","0.000000e+0"
"2009","Liquid","Arkansas One","Arkansas One 1","Iodine","3.390000e-5"
"2015","Liquid","Ignalina","Aggregated Record","Beta/Gamma","2.154400e-2"
"2012","Atmospheric","Millstone","Millstone 3","Noble Gases","1.349756e+0"
"2019","Atmospheric","Davis Besse","Aggregated Record","H-3","3.229250e+1"
"2016","Atmospheric","Belleville","Aggregated Record","H-3","1.630000e+3"
"1987","Atmospheric","Haddam Neck","Aggregated Record","H-3","2.327300e+3"
"2007","Atmospheric","Ringhals","Ringhals 3","Alpha","1.307000e-6"
"1990","Atmospheric","Clinton","Aggregated Record","Iodine","5.661000e-3"
"2014","Atmospheric","Oconee","Aggregated Record","Beta/Gamma","9.490093e-7"
"2013","Atmospheric","Hanul","Hanul 3","C-14","2.970000e+1"
"2007","Atmospheric","South Ukraine","Drain valve 2","Other","0.000000e+0"
"2023","Liquid","Wolsong","Wolsong 2","H-3","2.010000e+3"
"2021","Liquid","Atucha","Atucha 1","H-3","1.538900e+6"
"2008","Atmospheric","Loviisa","Loviisa 1","Beta/Gamma","2.409000e-3"
"1996","Atmospheric","Hanul","Hanul Aggregated Record","Beta/Gamma","2.040000e-3"
"2018","Liquid","Watts Bar","Watts Bar-1","Beta/Gamma","4.671590e-3"
"1997","Atmospheric","Leibstadt","Aggregated Record","Iodine","4.300000e-1"
"2025","Atmospheric","Wolsong","Wolsong 3","Noble Gases","2.045000e+3"
"2008","Liquid","Creys-Malville","Aggregated Record","H-3","3.010000e+0"
"2014","Liquid","Seabrook","Aggregated Record","Beta/Gamma","6.465059e-3"
"2022","Atmospheric","Kori","Kori 4","Iodine","4.010000e-5"
