"Year","Release Type","Site","Installation","Nuclide Type","Activity"
"1987","Atmospheric","R.E. Ginna","Aggregated Record","Iodine","8.399000e-2"
"2010","Liquid","Millstone","Millstone 3","Beta/Gamma","5.275290e-2"
"2016","Atmospheric","Penly","Aggregated Record","Noble Gases","4.369140e+2"
"1995","Atmospheric","Monticello","Aggregated Record","Iodine","1.400000e-1"
"2019","Atmospheric","Heysham","Heysham 1 (Unit A)","Iodine","5.580000e-2"
"2009","Atmospheric","Zaporozhye","Zaporizhzhia 3","Particulates","2.460000e-2"
"2016","Atmospheric","Almaraz","Aggregated Record","Noble Gases","1.270000e+3"
"2018","Atmospheric","Khmelnitski","Drain valve","C-14","0.000000e+0"
"2007","Liquid","Khmelnitski","Drain valve","Beta/Gamma","0.000000e+0"
"2016","Atmospheric","Cofrentes","Aggregated Record","Iodine","2.250000e-2"
"2020","Liquid","Philippsburg","Philippsburg 2 (KKP-2)","H-3","5.640000e+3"
"2017","Atmospheric","Oyster Creek","Aggregated Record","Beta/Gamma","1.495854e-2"
"2025","Liquid","Hanul","Hanul 3","H-3","1.059414e+4"
"1993","Atmospheric","Seabrook","Aggregated Record","Beta/Gamma","2.442000e-5"
"2015","Liquid","Three Mile Island","Three Mile Island 2","Beta/Gamma","1.686400e-5"
"2024","Atmospheric","Kalinin","Aggregated Record","H-3","3.355720e+1"
"2007","Atmospheric","Heysham","Heysham 1 (Unit A)","C-14","1.480000e+3"
"2012","Atmospheric","Byron","Byron 2","Iodine","1.212230e-4"
"2011","Liquid","Chinon","Aggregated Record","H-3","5.420000e+4"
"1986","Liquid","Catawba","Aggregated Record","Beta/Gamma","1.119350e+5"
"2015","Atmospheric","Kozloduy","Kozloduy-5","C-14","3.547770e+2"
"2012","Atmospheric","H.B. Robinson","Aggregated Record","Beta/Gamma","1.520900e-7"
"2009","Atmospheric","Rovno","Rovno-4","Beta/Gamma","1.143830e-3"
"2007","Atmospheric","Golfech","Aggregated Record","Iodine","8.890000e-2"
